"","Active Ingredient","Country","group","IS_Air_emission","IS_Agr_soil_emission_field","IS_Freshwater_emission_offField","IS_Nat_soil_emission_offField","IS_Agr_soil_emission_offField","UnitIS_Air_emission","UnitIS_Agr_soil_emission_field","UnitIS_Freshwater_emission_offField","UnitIS_Nat_soil_emission_offField","UnitIS_Agr_soil_emission_offField","AnnualIS_Air_emission","AnnualIS_Agr_soil_emission_field","AnnualIS_Freshwater_emission_offField","AnnualIS_Nat_soil_emission_offField","AnnualIS_Agr_soil_emission_offField","sumIS","sumIS_drift","IS_Air_emission_drift","IS_Agr_soil_emission_field_drift","IS_Agr_soil_emission_offField_drift","IS_Freshwater_emission_offField_drift","IS_Nat_soil_emission_offField_drift","sumUnitIS","sumUnitIS_drift","UnitIS_Air_emission_drift","UnitIS_Agr_soil_emission_field_drift","UnitIS_Agr_soil_emission_offField_drift","UnitIS_Freshwater_emission_offField_drift","UnitIS_Nat_soil_emission_offField_drift","sumAnnualIS","sumAnnualIS_drift","AnnualIS_Air_emission_drift","AnnualIS_Agr_soil_emission_field_drift","AnnualIS_Agr_soil_emission_offField_drift","AnnualIS_Freshwater_emission_offField_drift","AnnualIS_Nat_soil_emission_offField_drift"
"1","ABAMECTIN","BRAZIL","original method",264.554231,0.575437970662385,31.99119724,0.066338353,0.007517899,0.00908276438922175,1.88724569790188e-05,0.00109833248998379,2.27754978311671e-06,2.5805230366015e-07,6645073.1736,14099.469607069,803554.8923334,1666.286751255,188.834593641,297.194722462662,297.194722462662,264.554231,0.575437970662385,0.007517899,31.99119724,0.066338353,0.0102025049382713,0.0102025049382713,0.00908276438922175,1.88724569790188e-05,2.5805230366015e-07,0.00109833248998379,2.27754978311671e-06,7464582.65688537,7464582.65688537,6645073.1736,14099.469607069,188.834593641,803554.8923334,1666.286751255
"2","ABAMECTIN","BRAZIL","refined method - original",264.554231,0.568548714954753,57.46169686,0.090334805,0.035733073,0.00908276438922175,1.86465135465121e-05,0.00197279420593482,3.10140537721048e-06,1.22680023517839e-06,6645073.1736,13930.668010469,1443322.9017646,2269.029619564,897.543339522,322.710544452955,25.5158219902924,0,-0.0068892557076321,0.028215174,25.47049962,0.023996452,0.0110785333143155,0.000876028376044129,0,-2.25943432506663e-07,9.68747931518236e-07,0.000874461715951023,8.23855594093766e-07,8105493.31633415,640910.659448789,0,-168.8015966,708.708745881,639768.0094312,602.742868309
"3","ABAMECTIN","BRAZIL","50% drift - refined",264.554231,0.576855154892521,28.7308484327664,0.0451674022409895,0.0178665367353511,0.00908276399577644,1.89189356500966e-05,0.000986397060167373,1.55070230140153e-06,6.13399891491679e-07,6645072.89120534,14134.1931627696,721661.42019443,1134.51476116353,448.771650602731,293.924968526635,-28.7855759263196,0,0.00830643993776847,-0.0178665362646489,-28.7308484272337,-0.0451674027590105,0.0100902440937868,-0.000988289220528665,-3.93445311053231e-10,2.72422103584484e-07,-6.13400343686707e-07,-0.000986397145767442,-1.55070307580895e-06,7382451.79097431,-723041.525359844,-0.28239465598017,203.52515230057,-448.771688919269,-721661.48157017,-1134.51485840047
"4","ABAMECTIN","BRAZIL","75% drift - refined",264.554231,0.581008374909847,14.3654242163832,0.0225837011204948,0.00893326836767557,0.00908276399577644,1.90551474904209e-05,0.000493198530083687,7.75351150700765e-07,3.06699945745839e-07,6645072.89120534,14235.9559943478,360830.710097215,567.257380581766,224.385825301366,279.532180560781,-43.1783638921736,0,0.0124596599550943,-0.0267998046323244,-43.0962726436168,-0.0677511038795052,0.00959609972444699,-0.00148243358986847,-3.93445311053231e-10,NA,-9.20100289432546e-07,-0.00147959567585113,-2.32605422650972e-06,7020931.20050279,-1084562.11583136,-0.28239465598017,305.28798387881,-673.157514220634,-1082492.19166738,-1701.77223898223
"5","ABAMECTIN","BRAZIL","90% drift - refined",264.554231,0.581008374909847,5.74616968655327,0.00903348044819791,0.00357330734707023,0.00908276399577644,1.90551474904209e-05,0.000197279412033475,3.10140460280306e-07,1.22679978298336e-07,6645072.89120534,14235.9559943478,144332.284038886,226.902952232706,89.7543301205463,270.894015849258,-51.8165286036964,0,0.0124596599550943,-0.0321597656529298,-51.7155271734467,-0.0813013245518021,0.00929953137573891,-0.00177900193857655,-3.93445311053231e-10,4.08633943908805e-07,-1.10412025688005e-06,-0.00177551479390134,-2.79126491693017e-06,6803957.78852093,-1301535.52781322,-0.28239465598017,305.28798387881,-807.789009401454,-1298990.61772571,-2042.12666733129
"6","BETA-CYFLUTHRIN","BRAZIL","original method",1547.230107,374.695988971468,1325.9642,24.43963099,2.769662731,0.187483975197586,0.0436843115171658,0.160672312446957,0.00296144649063859,0.000335610959019798,177889687.055417,42242248.330871,152450081.928508,2809897.69340715,318436.43322398,3275.09958969247,3275.09958969247,1547.230107,374.695988971468,2.769662731,1325.9642,24.43963099,0.395137656611368,0.395137656611368,0.187483975197586,0.0436843115171658,0.000335610959019798,0.160672312446957,0.00296144649063859,375710351.441427,375710351.441427,177889687.055417,42242248.330871,318436.43322398,152450081.928508,2809897.69340715
"7","BETA-CYFLUTHRIN","BRAZIL","refined method - original",1547.230107,370.210055643369,2381.659939,33.28013414,13.16439054,0.187483975197586,0.043161314436044,0.288595129507494,0.00403268513111048,0.00159518112864383,177889687.055417,41736515.90652,273826588.211967,3826316.8623743,1513549.47327115,4345.54462632337,1070.4450366309,0,-4.48593332809912,10.394727809,1055.695739,8.84050315,0.524868285400879,0.129730628789511,0,-0.00052299708112178,0.00125957016962404,0.127922817060537,0.00107123864047189,498792657.509549,123082306.068122,0,-505732.424350999,1195113.04004717,121376506.283459,1016419.16896715
"8","BETA-CYFLUTHRIN","BRAZIL","50% drift - refined",1547.230107,375.618787695191,1190.82996945496,16.6400670695235,6.5821952686761,0.187483973520289,0.0437918965623608,0.144297563400801,0.00201634254641503,0.000797590557393313,177889685.464765,42346281.9010719,136913292.825654,1913158.41368264,756774.729702476,3136.90112648835,-1208.64349983502,0,5.40873205182226,-6.5821952713239,-1190.82996954504,-16.6400670704765,0.37838736658726,-0.146480918813619,-1.67729691247231e-09,0.000630582126316719,-0.000797590571250522,-0.144297566106693,-0.00201634258469545,359819193.334876,-138973464.174673,-1.59065166115761,609765.994551919,-756774.743568674,-136913295.386313,-1913158.44869166
"9","BETA-CYFLUTHRIN","BRAZIL","75% drift - refined",1547.230107,378.323153695405,595.41498472748,8.32003353476176,3.29109763433805,0.187483973520289,0.0441071878098375,0.0721487817004005,0.00100817127320752,0.000398795278696656,177889685.464765,42651165.0665585,68456646.412827,956579.206841318,378387.364851238,2532.57937659198,-1812.96524973138,0,8.11309805203604,-9.87329290566195,-1786.24495427252,-24.9601006052382,0.305146909582432,-0.219721375818447,-1.67729691247231e-09,NA,-0.00119638584994718,-0.216446347807094,-0.00302451385790297,290332463.515843,-208460193.993706,-1.59065166115761,914649.160038464,-1135162.10841991,-205369941.79914,-2869737.65553298
"10","BETA-CYFLUTHRIN","BRAZIL","90% drift - refined",1547.230107,378.323153695405,238.165993890992,3.3280134139047,1.31643905373522,0.187483973520289,0.0441071878098375,0.0288595126801602,0.000403268509283007,0.000159518111478662,177889685.464765,42651165.0665585,27382658.5651308,382631.682736527,151354.945940495,2168.36370705404,-2177.18091926933,0,8.11309805203604,-11.8479514862648,-2143.49394510901,-29.9521207260953,0.261013460631049,-0.26385482476983,-1.67729691247231e-09,0.000945873373793482,-0.00143566301716517,-0.259735616827334,-0.00362941662182748,248457495.725132,-250335161.784418,-1.59065166115761,914649.160038464,-1362194.52733065,-246443929.646836,-3443685.17963777
