"","name_country","Distributor Group","sumcountryis_air","sumcountryis_nat.soil_offfield","sumcountryis_water_offfield","sumcountryis_agr.soil","sumvaluedistributor","sumcountryis"
"1","ALGERIA","BASF",13738609.3770575,201349.846597913,4776922.4450419,13604912.3610808,4061.846,32321794.0297781
"2","ALGERIA","BAYER-CROPSCIENCE",13968319.2854651,1322554.43471827,1068542.33108846,88679239.2845747,25323.19,105038655.335847
"3","ALGERIA","CORTEVA-(DOW/DUPONT)",30281872.464574,3529200.36925645,19166157.5236783,286585814.190344,12049.391,339563044.547852
"4","ALGERIA","DE-SANGOSSE",0,0,0,0,50.358,0
"5","ALGERIA","FMC",13782611.6211629,558349.293488325,13696454.4667468,37475666.9083162,1494.895,65513082.2897141
"6","ALGERIA","ISAGRO",10029002.1467088,1660414.22076127,177194.552385242,111662195.656073,243.043,123528806.575928
"7","ALGERIA","LIMAGRAIN",1014903.33760528,51679.876542585,60833.0743022953,14294939.646851,99.966,15422355.9353012
"8","ALGERIA","NUFARM",2569347.52904316,6867.65368917655,277282.739936105,498481.234768908,287.986,3351979.15743735
"9","ALGERIA","RALLIS",17470755.5433178,115295.830835494,12439428.3700797,7763065.11917509,581.518,37788544.8634081
"10","ALGERIA","SIPCAM-OXON",18699399.6958812,2625977.96994405,5340322.83858257,176704614.738136,813.616,203370315.242543
"11","ALGERIA","SUMITOMO CHEMICAL",51316.4225757726,331.227371625633,24675.7135476503,22230.0520690592,61.812,98553.4155641078
"12","ALGERIA","SYNGENTA",168431763.255756,4139710.5502882,69259186.7927934,301496021.842039,24189.549,543326682.440876
"13","ALGERIA","UNITED-PHOSPHOROUS/UPL",199095082.536317,13921735.9439868,78814523.1563927,985058746.074908,6231.806,1276890087.71161
"14","ALGERIA","VARIOUS",558981649.390441,32765664.1014016,225530886.162506,2454170155.3912,31127.672,3271448355.04554
"15","ALGERIA","YANCHENG-LIMIN-CHEMICAL",2869768.49444566,115887.078526781,219882.90839008,33551020.7313711,101.814,36756559.2127336
"16","ANGOLA","BAYER-CROPSCIENCE",104101.011404448,11185.2935130062,15450.8894488561,400825.451342393,192.791,531562.645708703
"17","ANGOLA","VARIOUS",450140628.675328,36332530.8277234,115756766.015249,1751807834.82484,8498.744,2354037760.34314
"18","ARGENTINA","ADAMA",1676599643.71647,138432974.752717,288728019.538874,8901460845.73922,81968.071,11005221483.7473
"19","ARGENTINA","ALBAUGH",1961989757.96589,129480091.331889,799050460.246192,7987145147.72695,220504.867,10877665457.2709
"20","ARGENTINA","BASF",1075516948.7693,167482114.469878,49529355.510878,11172139293.6073,106930.147,12464667712.3573
"21","ARGENTINA","BAYER-CROPSCIENCE",1463888188.94021,135560344.578578,106850911.715451,9071108272.09658,489314.773,10777407717.3308
"22","ARGENTINA","CORTEVA-(DOW/DUPONT)",2229740866.61121,167827538.718668,1956700199.40436,11935606838.7116,387018.581,16289875443.4458
"23","ARGENTINA","FMC",1497799351.47503,98566289.6575796,160776649.53015,9139363235.58041,81321.376,10896505526.2432
"24","ARGENTINA","NUFARM",2227172884.72897,214174580.697955,409836665.737066,14267191981.1674,73674.962,17118376112.3314
"25","ARGENTINA","PUNJAB",1656152.24381422,178027.789292666,207220.878802865,11483451.2776977,382.242,13524852.1896075
"26","ARGENTINA","SIPCAM-OXON",9965397.84617384,433538.795206976,3653022.76254557,28873830.2340412,1662.453,42925789.6379676
"27","ARGENTINA","SUMITOMO CHEMICAL",128628703.775467,2490568.23406116,36216047.0041888,127280647.247663,7878.19,294615966.26138
"28","ARGENTINA","SUMITOMO-CORP",69911785.6017185,8859117.31348543,34912159.6126273,576897830.935941,51245.887,690580893.463772
"29","ARGENTINA","SYNGENTA",9978555291.47713,544956942.928733,2526903842.69312,34169461274.8354,479877.05,47219877351.9344
"30","ARGENTINA","UNITED-PHOSPHOROUS/UPL",2551303100.91532,38792845.1798112,1058164796.7151,2966809618.1423,32025.047,6615070360.95253
"31","ARGENTINA","VARIOUS",11517185201.9161,519664513.077283,4260625465.97806,32090491849.0661,615812.349,48387967030.0375
"32","AUSTRALIA","ADAMA",1793400740.46912,86174189.487928,259962134.33029,5086854525.7586,30505.195,7226391590.04594
"33","AUSTRALIA","AMGROW",2160679.82956245,387921.308864447,16649.6352820934,13885244.6648486,406.419,16450495.4385576
"34","AUSTRALIA","BASF",332532133.992256,23398518.7379477,49152137.8820053,1554659725.04413,47472.419,1959742515.65634
"35","AUSTRALIA","BAYER-CROPSCIENCE",914340005.190307,143770434.821414,16352097.8764651,8414656641.27417,122106.868,9489119179.16236
"36","AUSTRALIA","CORTEVA-(DOW/DUPONT)",893104055.009327,149440976.517629,172269186.401343,6112002569.33488,83171.754,7326816787.26318
"37","AUSTRALIA","FMC",647834549.425952,30531381.2230757,69470378.0715926,2072940238.79469,34798.174,2820776547.51531
"38","AUSTRALIA","JANSSEN",6530.99104136824,33.8085224221335,455.243100989228,868.024323839231,25.087,7888.06698861883
"39","AUSTRALIA","LONZA",33181402.0006214,74469.5495921362,12700646.3907652,3313805.69476059,48.335,49270323.6357394
"40","AUSTRALIA","NUFARM",4457603085.21021,473152551.147427,384264624.39,24946280073.696,161708.187,30261300334.4436
"41","AUSTRALIA","SINOCHEM",5553879.07473685,394752.510181867,455571.586011134,24487549.9799075,23215.013,30891753.1508374
"42","AUSTRALIA","SIPCAM-OXON",265192040.599119,16237272.2380692,11223734.4022231,966204696.20867,16533.546,1258857743.44808
"43","AUSTRALIA","SUMITOMO CHEMICAL",71414105.2087629,10454643.9953688,30092063.1489703,689757514.407776,13727.062,801718326.760879
"44","AUSTRALIA","SYNGENTA",3508455476.93131,290975357.45557,238184879.720763,17884324519.0842,104308.022,21921940233.1919
"45","AUSTRALIA","TESSENDERLO-KERLEY",1843970134.27393,131384312.064017,63230013.952286,8736358748.83581,11161.567,10774943209.126
"46","AUSTRALIA","UNITED-PHOSPHOROUS/UPL",56074654.3932625,10542739.0108027,4683687.8133665,1521797707.0624,15408.582,1593098788.27983
"47","AUSTRALIA","VARIOUS",6669088739.64491,1098737802.48252,502152583.928953,38594261833.6849,350746.148,46864240959.7412
"48","AUSTRIA","ADAMA",78429182.9543153,866985.348670659,12190925.8389907,66345422.1188721,5340.634,157832516.260849
"49","AUSTRIA","BASF",48390042.8808913,3091695.26823126,5416931.99332083,225011446.701957,11152.985,281910116.8444
"50","AUSTRIA","BAYER-CROPSCIENCE",318401413.629846,14999034.344124,26513866.1168815,1004967038.76319,31790.636,1364881352.85404
"51","AUSTRIA","BELCHIM",7384292.07013059,514689.215400423,545466.146151651,46868752.0311166,1700.924,55313199.4627992
"52","AUSTRIA","CORTEVA-(DOW/DUPONT)",1789.28156068719,184.617765669734,89.6467044385769,12359.7505654434,96.796,14423.2965962389
"53","AUSTRIA","FMC",65599394.0966699,2206618.10381643,4461283.16427996,299368213.05909,6549.716,371635508.423856
"54","AUSTRIA","ISHIHARA-SANGYO",96724.9149717885,207.649933668347,8398.4796663326,14125.6438997408,10.999,119456.68847153
"55","AUSTRIA","KWIZDA-AGRO",319861245.005154,14512544.6243948,82973620.6350195,1020974942.99148,13995.189,1438322353.25605
