"","name_country","countproduct"
"1","ALGERIA",480
"2","ANGOLA",57
"3","ARGENTINA",1410
"4","AUSTRALIA",1587
"5","AUSTRIA",321
"6","AZERBAIJAN",19
"7","BANGLADESH",185
"8","BELARUS",548
"9","BELGIUM",502
"10","BOLIVIA",377
"11","BRAZIL",1636
"12","BULGARIA",330
"13","CAMEROON",4
"14","CANADA",562
"15","CENTRAL AMERICA-CARIBBEAN",272
"16","CHILE",612
"17","CHINA",850
"18","COLOMBIA",942
"19","COSTA-RICA",424
"20","CROATIA",247
"21","CUBA",106
"22","CZECH REP.",750
"23","DENMARK",267
"24","DOMINICAN-R.",677
"25","ECUADOR",900
"26","EGYPT",266
"27","EL SALVADOR",372
"28","ESTONIA",164
"29","FINLAND",262
"30","FRANCE",2343
"31","GERMANY",597
"32","GHANA",4
"33","GREECE",585
"34","GUATEMALA",482
"35","HONDURAS",545
"36","HUNGARY",737
"37","INDIA",465
"38","INDONESIA",385
"39","IRAN",4
"40","IRELAND",272
"41","ISRAEL",582
"42","ITALY",910
"43","IVORY-COAST",4
"44","JAPAN",1478
"45","KAZAKHSTAN",372
"46","KENYA",65
"47","KOREA-SOUTH",1139
"48","KYRGYZSTAN",4
"49","LATVIA",173
"50","LITHUANIA",208
"51","MACEDONIA",257
"52","MALAWI",62
"53","MALAYSIA",551
"54","MEXICO",1559
"55","MOROCCO",682
"56","MOZAMBIQUE",88
"57","NAMIBIA",64
"58","NETHERLANDS",509
"59","NEW ZEALAND",466
"60","NICARAGUA",268
"61","NIGERIA",56
"62","NORWAY",86
"63","PAKISTAN",337
"64","PANAMA",490
"65","PARAGUAY",489
"66","PERU",1070
"67","PHILIPPINES",459
"68","POLAND",1119
"69","PORTUGAL",358
"70","ROMANIA",590
"71","RUSSIAN FED.",1167
"72","SAUDI-ARABIA",4
"73","SERBIA REP.",669
"74","SLOVAKIA",524
"75","SLOVENIA",184
"76","SOUTH-AFRICA",648
"77","SPAIN",1081
"78","SRI-LANKA",91
"79","SWEDEN",203
"80","SWITZERLAND",600
"81","TAIWAN",263
"82","TAJIKISTAN",4
"83","TANZANIA",27
"84","THAILAND",370
"85","TUNISIA",324
"86","TURKEY",732
"87","TURKMENISTAN",4
"88","U.KINGDOM(UK)",1708
"89","UKRAINE",1269
"90","URUGUAY",396
"91","USA",1961
"92","UZBEKISTAN",14
"93","VENEZUELA",130
"94","VIETNAM",874
"95","ZAMBIA",235
"96","ZIMBABWE",206
